game,outcome,end_reason,n_moves,loss,moves
11,B,material_resign,44,3.800499,g1h3 g7g5 d2d3 d7d6 c2c3 g5g4 g2g3 b8a6 b1a3 e7e6 b2b3 b7b6 b3b4 g8h6 d1c2 f7f6 c1e3 c8b7 f2f3 h8g8 b4b5 d6d5 h1g1 f8g7 a1b1 a6b4 c2d1 d5d4 d1c2 d8d7 e1d1 d7c8 d1e1 h6f7 e3d4 c8d7 g1g2 e8f8 b1a1 d7d6 e1d1 b4c2 d1c1 a8d8
12,B,material_resign,80,3.697111,e2e4 d7d6 c2c3 g7g5 b1a3 b8a6 d2d3 c8g4 f2f3 h7h6 b2b3 c7c6 d1c2 e7e6 a3b5 c6b5 c1d2 d8e7 f3f4 e8d7 b3b4 d7c8 c3c4 a8b8 g2g3 h8h7 c2b1 h6h5 d2e3 h7h8 d3d4 e6e5 e1d2 c8d7 h2h3 a6c7 d2c1 c7d5 c1b2 d7e8 b1c1 e7e6 c1d2 f8e7 d2e1 h8h7 a1b1 e7f8 b2c1 b8c8 b1a1 h7h6 a1b1 e5f4 e3f4 e6g6 c1d2 c8c7 f4d6 f8e7 h1h2 g4c8 e1e2 c7c5 d6b8 e8d8 f1g2 g6f5 h3h4 f7f6 e2e1 e7d6 e1f1 g8e7 h2h3 d6b8 d2c1 d5b4 g1e2 d8e8
13,W,material_resign,119,3.902631,b1c3 f7f6 g2g3 a7a6 g1f3 g7g5 d2d3 b7b6 h1g1 d7d6 e2e3 f6f5 b2b3 e8f7 f1e2 b8c6 a2a3 f7e6 c1b2 c6a7 e2f1 d8d7 d3d4 h7h6 b2c1 a6a5 e1e2 d6d5 g1h1 c8b7 h2h3 d7e8 c1d2 e8a4 h1h2 g8f6 d1e1 h8h7 e1d1 h7h8 d2c1 h6h5 c1b2 b7c8 g3g4 h8h7 d1e1 c8b7 b2c1 f8g7 a1b1 g7f8 c1b2 h7h8 b1c1 c7c5 h3h4 a8c8 e1d1 h8g8 d1e1 f6e4 f3g5 e6d6 h2h3 h5g4 g5f3 f5f4 e1d1 g8g6 d1e1 c8d8 c1d1 d8e8 b3b4 g6g5 e1d2 a4b3 b2c1 e8d8 d1e1 a5a4 e2d1 d8e8 c3e2 f8g7 f1g2 b7c8 g2f1 g7f8 f1g2 c8b7 g2h1 e8d8 c1b2 b7c8 d2c1 c8b7 b2a1 d8d7 e2g1 d7d8 h1g2 b3c3 g2h1 d8e8 d1e2 b7c8 c1b2 c8b7 h1g2 e7e5 e2d1 f8h6 d1c1 c3e3 f2e3 e8f8 g2h1
14,W,material_resign,69,3.871894,d2d3 d7d6 g1f3 b8a6 h2h3 b7b6 e2e4 h7h6 h1h2 c8b7 c1d2 c7c6 b2b3 a6b4 h3h4 b4d3 c2d3 e8d7 d1c2 h8h7 e1e2 f7f6 h2h3 d8e8 d2e1 h6h5 h3g3 e8f7 e1d2 a7a6 d2e1 h7h8 f3h2 d7c8 c2c3 f7g6 f2f3 c8d7 b3b4 a8b8 c3c4 b7c8 e1d2 c6c5 d2e1 h8h7 e1f2 d7e8 b1c3 e8d7 c4g8 g6g5 e2d1 h7h8 d1e1 d6d5 f1e2 b8a8 e1d1 f6f5 d1e1 c5b4 a1b1 d5d4 g8g7 c8b7 f2d4 a8a7 b1c1
15,D,cap_draw,150,3.926632,f2f4 h7h6 g2g4 c7c6 e1f2 f7f5 f2f3 b7b6 a2a4 d7d5 b2b3 e8d7 a1a2 d8e8 c1b2 d7c7 b2a1 e7e5 d1e1 e8d7 b3b4 h8h7 h2h4 a7a6 d2d4 c8b7 e1d2 d7c8 d2c1 a6a5 d4e5 c8e6 e2e3 h6h5 c1d2 h7h8 f1g2 a8a6 g2f1 g7g6 a2b2 b6b5 g4h5 a6a7 d2e1 a7a6 e3e4 b7c8 e1e3 f8e7 f1g2 c8d7 b1a3 a6b6 g2f1 h8h7 f1g2 d7c8 b2b3 e7d8 a3c4 g8h6 h1h2 c8b7 e3d3 d8g5 g2h1 c6c5 f3g2 e6d6 g2h3 d6e6 g1f3 b7c8 d3d1 b8d7 c4d6 g5f6 f3g5 c5b4 h2g2 e6e7 g2h2 e7d8 d1e2 h7h8 e5e6 c7c6 e2f1 h6f7 h3g3 f6d4 f1d3 h8h6 c2c3 d8e8 h2h3 d4g7 h1g2 d7f6 g2f1 c8d7 f1g2 e8d8 g2f1 g7f8 b3b1 d8c8 f1g2 c8b7 g2f1 f6h5 g3f3 b5a4 d6b5 f5e4 f3g2 f8g7 g2h1 g7h8 f1g2 b7c8 h1g1 c8b8 g1h1 b8b7 g2f1 b7a8 f1g2 d7c8 d3c2 b6b8 g2f1 c8b7 f1e2 b7c8 h1g1 h5f4 e2d1 c8d7 g1h1 c6c5 h1h2 d7e8 c2b3 e4e3 g5h7 d5d4 d1c2 b8b7
16,D,cap_draw,150,3.997921,g1h3 g7g5 d2d3 f7f5 e1d2 h7h6 f2f3 e7e5 e2e3 d7d6 g2g4 d8e7 e3e4 e7h7 b1a3 h7e7 f1e2 f5f4 d1e1 d6d5 e1f1 e8d8 h1g1 e7e6 d2e1 h6h5 a1b1 f8e7 c1d2 c8d7 d3d4 d8e8 b1d1 h8h7 f1g2 h5h4 e1f2 e8f8 a3c4 d7c8 d1c1 h7h6 d2e1 f8g7 e2d1 b7b6 c2c3 g7f6 g2f1 c8d7 d1c2 e7d8 f1e2 a7a6 e2e3 d7e8 h3g5 h6h7 g1h1 h7h8 e3d2 e8d7 d2d3 f6e7 h1g1 a8a7 g5h7 a6a5 g1f1 h8h7 h2h3 a7a8 c4d2 d7e8 f1g1 b8a6 g1f1 e7d7 c3c4 e8g6 f1g1 d7c6 c1b1 h7h8 g1f1 h8h7 b1a1 e6e7 f2e2 h7h8 a1b1 e7d7 d3e3 a8b8 b1c1 h8h7 e1f2 d7e8 e2d1 a5a4 d2b3 e8e7 d1e1 h7h8 e1d2 b8a8 f1e1 h8h7 e1d1 h7h6 d1e1 e7d6 e1d1 a8b8 d2e1 b8a8 c4d5 d6d5 a2a3 g6f7 e1f1 h6h5 e3f4 a8a7 f4g3 d5d6 f1g1 d8e7 d1e1 e7f8 e1f1 c6d7 g1h1 a7b7 g4g5 d6e7 h1g2 d7c8 g3e5 c8d7 f1g1 d7c8 g2h1 c8d7 d4d5 d7c8 e5h8 c8d8 g1f1 d8e8
17,B,material_resign,98,3.862716,e2e4 d7d6 b1c3 b8c6 f2f3 g8h6 f3f4 b7b5 d2d3 e8d7 h2h3 c8b7 c1d2 c6b8 g2g3 d6d5 a1b1 f7f6 f1e2 b7c8 b1c1 h8g8 e1f1 c7c6 e2h5 b5b4 c3e2 b8a6 d1e1 h6f5 d2b4 c8b7 f1g2 h7h6 e1f1 d7c8 h1h2 a6b4 g2h1 g8h8 g3g4 c8d7 c2c3 h8g8 c1d1 a8b8 e4f5 b7a8 f1g2 g8h8 d1e1 d7c8 g2f1 c8b7 f1g2 h8h7 e1f1 e7e5 g2g3 d8d7 h1g2 d7e8 g2f3 e8d8 f1e1 f8c5 e1f1 e5f4 h5e8 d8e8 f1f2 e8d8 h3h4 d8d7 h4h5 d7e7 g3g2 a7a6 g2g3 e7d8 d3d4 d8d7 b2b3 d7e8 h2h3 e8f8 h3h4 c5b6 a2a3 b4d3 g3f4 f8e8 a3a4 e8d7 f4c7 d7c7 g4g5 f6g5
18,B,material_resign,118,3.747538,d2d3 a7a6 h2h3 h7h6 e2e3 b7b6 g1f3 f7f6 c2c3 e8f7 g2g3 c7c5 d1e2 a6a5 f1g2 a8a7 e2f1 c5c4 h1g1 d7d6 e3e4 d8d7 b1a3 h8h7 c1f4 d7e8 e1d2 c8d7 d3d4 e8d8 d2c1 d8e8 c1d2 a7a6 d2c1 e8d8 a1b1 d7e6 h3h4 e6g4 c1d2 d6d5 a3c4 e7e6 g2h1 g7g6 d2c1 d8e8 f1g2 f6f5 g2f1 f7g7 f1e2 e8d8 e2d3 h7h8 g1f1 g6g5 h1g2 b8c6 g2h1 h6h5 h1g2 d8d7 g2h1 e6e5 b1a1 h8h7 c1d2 d7d6 d2c1 h7h6 a1b1 d6b4 h1g2 h6h8 f1g1 h8h7 g1f1 h7h8 b1a1 h8h7 c4b6 a6b6 g2h1 h7h8 h1g2 h8h7 d3c4 h7h8 a1b1 g5f4 c4b3 h8h7 g2h1 h7h6 h1g2 f8e7 g2h1 e7d8 h1g2 g7f8 b3d5 g8e7 g2h1 b4a3 d5d7 a5a4 f1g1 f8g8 h1g2 a3b4 b1a1 g8f8 d7e8 f8e8 a1b1 e8f8
19,W,material_resign,95,3.894636,h2h3 f7f5 f2f3 b7b5 e2e4 f5e4 b2b3 a7a6 d2d4 b8c6 c2c3 g7g6 d1e2 e7e6 h1h2 a8a7 c1b2 f8c5 e1d2 d8e7 e2e1 e4f3 c3c4 h7h6 e1d1 b5c4 d1e1 e8d8 g2g3 d8e8 e1d1 h8h7 d1e1 e8f8 f1g2 e7d6 g2f1 f8e7 e1e3 e7d8 f1c4 h7h8 d2c1 h8h7 c1d2 h7h8 e3e5 f3f2 b2c1 g6g5 c4b5 d6e7 d4d5 c5d6 d2d3 d8e8 c1d2 e8f8 d2e1 e7e8 d3e4 c6d8 d5e6 e8f7 e1d2 c8b7 b5c6 f8e7 d2e1 h6h5 c6d5 h8h7 e1d2 h7h8 d5b7 h8h7 d2e1 h7h8 e1d2 f7f6 e4e3 h8h7 d2e1 f6f5 g3g4 h7h8 e1d2 f5f8 b7g2 f8f5 g2f1 f5e4 e3e4 h8h7 d2c1
20,W,material_resign,77,3.713549,e2e3 d7d5 f1b5 b8c6 d2d3 g7g6 g1e2 h7h6 c2c3 b7b6 f2f3 f7f5 h2h3 c8d7 h1h2 h8h7 e2d4 d7c8 g2g3 f8g7 e1f1 e8d7 g3g4 g8f6 h2h1 d7e8 d1c2 g6g5 f1g2 f6g8 h1h2 d8d6 g2f1 c8d7 f1g2 d7c8 d4e6 c8d7 b1a3 d7c8 g2f1 g7h8 f1g2 c8b7 g2f1 a8b8 f1e2 h6h5 e2f1 a7a6 f1g2 h8g7 f3f4 g7f8 g2f1 h7h8 f1g2 d6c5 g2f1 b7a8 d3d4 c5d4 c1d2 h8h7 d2c1 g5f4 f1g2 g8f6 g2f1 h7h8 e6g7 e8d8 f1g2 d4d2 c2d2 b8c8 g2f1
21,W,material_resign,87,3.675233,c2c3 d7d5 d1b3 b8a6 g2g3 b7b5 f2f3 h7h6 e2e3 g7g5 f1g2 h8h7 g3g4 c7c6 h2h3 g8f6 e1f1 b5b4 f1f2 d8c7 g2f1 f8g7 d2d3 f6h5 h3h4 e8d8 f1e2 g7f8 h1h2 d8e8 h2h3 f7f6 e2d1 e8d7 f3f4 f8g7 h3f3 g5f4 a2a4 c7b6 g1e2 a8b8 f2g1 f6f5 g1h2 c8b7 d1c2 b7c8 c1d2 b6b7 d2c1 b7a8 h2h3 d7e6 d3d4 g7f8 c1d2 c8b7 d2e1 c6c5 e1d2 h7h8 g4h5 h8h7 d2e1 b7c6 e3f4 b8e8 e1d2 a6c7 d2e1 a8b8 b1a3 b8a8 e1d2 a7a6 d2c1 e8d8 a1a2 c6b5 d4c5 f8g7 c2d1 d8d7 a3b5 h7h8 f3f1
22,B,material_resign,48,3.761775,c2c3 g7g6 e2e3 b7b5 d2d3 d7d6 f2f3 b8a6 g2g3 f8g7 f1g2 h7h6 b1a3 c8b7 d1d2 d8c8 g2f1 e7e6 d2c2 c7c5 f1g2 e8d7 a3b5 g7f8 e1d1 c8b8 d1e2 b7e4 g2f1 g8e7 f1g2 a6b4 c1d2 e4f3 e2f1 f3c6 h2h3 b8b7 f1e2 c6e4 e2f1 f8g7 d2c1 d7c8 a1b1 b4c2 b1a1 c8d8
23,B,material_resign,106,3.730442,d2d3 d7d6 g1f3 a7a6 e2e3 h7h6 b2b3 b7b6 c2c3 c7c6 g2g3 c8d7 f1e2 h8h7 e2f1 e7e6 e3e4 a6a5 f1e2 g8e7 e1d2 h7h8 h2h3 d6d5 h1g1 g7g6 d3d4 f7f5 b3b4 h8h7 e2f1 d7c8 f1g2 h6h5 f3e5 f8g7 d1c2 c8b7 e5c4 g7f8 d2d1 h7h6 c1b2 f8g7 d1e1 g7f8 c2d3 a8a7 g2f1 d8d6 e1e2 e8d8 b2c1 d8e8 f1g2 e8d8 g2f1 b7c8 g3g4 c8b7 g1g2 c6c5 g2g3 d8e8 f2f3 g6g5 c1b2 e8d8 e2d1 c5b4 d1e2 d8e8 e2d1 a7a6 d1e1 e8d8 g4f5 d8d7 g3g4 e7f5 f1g2 d7c8 b1a3 d6d7 e1f1 b4c3 f1e2 d7e8 e2d1 e8d8 d1e2 b8c6 e2f1 h5h4 g4g5 h6h7 a1b1 c8b8 b2a1 d5c4 b1c1 h7h8 f1e2 f8a3 g2f1 d8d7
24,B,material_resign,126,3.742193,d2d3 f7f5 g1h3 b8c6 e2e3 h7h6 b1a3 b7b5 a3b5 g7g6 g2g3 h8h7 f1e2 h7h8 d3d4 h8h7 f2f4 d7d6 c1d2 d6d5 b2b3 c8d7 e3e4 h7h8 d2c1 c6a5 c2c3 h8h7 c1d2 d7c8 e2f1 f8g7 f1e2 e7e6 e2f1 c7c6 b3b4 e8f8 d1e2 c8d7 e2e3 d8e8 b5c7 e8d8 c7e8 g7f6 c3c4 f6g7 h1g1 g6g5 f1g2 d7c8 e1f1 d8e8 d2e1 a8b8 e1d2 b8a8 g2h1 e6e5 d2e1 a5b7 f1e2 f8e7 e2d1 c8d7 d1e2 g7f8 e2d1 e8d8 d1e2 d7c8 e2f1 d8d7 f1g2 g5g4 e3e2 e5d4 e2f1 a8b8 g2f2 f8g7 a1b1 a7a6 f1g2 d5c4 g1f1 h7h8 g2g1 h8h7 h3g5 b7c5 b1c1 h7h8 e4e5 d7e8 e1d2 c8d7 d2c3 h6h5 h1g2 d7c8 g2h1 c5d3 f2e2 e8f8 h1g2 c8b7 g2e4 f8c8 g1h1 c8d7 h1g2 a6a5 g2h1 d7e8 f1g1 b8c8 b4b5 c8c7 e2d1 g7f6 d1c2 d3c1 e4g2 a5a4
25,B,material_resign,46,3.930103,d2d3 b7b6 c1g5 d7d5 e2e3 f7f5 c2c3 g8f6 f2f3 h7h5 b1a3 c8a6 e3e4 h8g8 f3f4 d8c8 g1f3 c8b7 d1c2 f6h7 b2b3 h7g5 b3b4 e7e6 e1d1 e8d8 f1e2 h5h4 c2a4 d8c8 d1e1 f8e7 e1f1 e7d8 h2h3 g8f8 h1g1 f8e8 c3c4 e8f8 f1e1 f8e8 e4e5 g5f3 e1d1 d5d4
26,B,material_resign,78,3.515359,e2e3 a7a6 g1f3 g8f6 c2c3 e7e5 d2d3 c7c6 b2b4 a8a7 c1b2 d8b6 b1a3 d7d6 d1e2 e8d8 c3c4 d8e8 b2c1 d6d5 g2g3 h7h6 f3d2 b6e3 h1g1 h8h7 e1d1 e3c5 f1g2 f8e7 h2h3 b8d7 g2h1 e7d8 a1b1 e8e7 e2f1 e7e6 a3b5 g7g5 d1e2 h7h8 b5c7 d8c7 h1g2 h8h7 f1e1 c5d6 e1d1 h7h8 d1e1 h8h7 e1f1 b7b5 e2e1 c8b7 g3g4 h7h8 g2f3 f6h7 e1d1 c7d8 f1e2 c6c5 g1f1 b7c8 f1g1 a6a5 h3h4 c8b7 e2f1 d5c4 f1e2 h7f8 d1c2 g5h4 e2d1 h8h7
27,W,material_resign,53,3.696057,b1c3 e7e5 e2e3 f7f5 d2d3 f8e7 f1e2 g7g5 g1f3 d7d5 g2g3 b7b6 h2h3 b8c6 e1f1 d5d4 c3d5 c8d7 f1g2 d8c8 h3h4 g5h4 c1d2 e8f8 d2e1 e7g5 h1f1 g8e7 b2b3 f8e8 e3d4 e8f8 c2c3 a8b8 d5e7 f8g7 d1c2 b8a8 e7g8 c8d8 e2d1 g5d2 g2h1 a8c8 a1b1 d8f6 h1h2 c8d8 b1a1 d7c8 e1d2 c8b7 d2c1
